Area	long	lat	year	houseSales	meanHousePrice	MedianHousePrice	populationOfTaxPayers	meanAnnualSalary	MedianAnnualSalary	weeklyRent
Hackney	51.545	-0.0553	2001	3401	178984	160000	72000	22400	17700	62
Hackney	51.545	-0.0553	2002	3743	204119	180000	76000	21300	17300	65
Hackney	51.545	-0.0553	2003	2851	224569	195000	73000	21500	17000	59
Hackney	51.545	-0.0553	2004	3413	236936	215000	86000	22900	18000	61
Hackney	51.545	-0.0553	2005	2607	249624	220000	92000	24600	19300	65
Hackney	51.545	-0.0553	2006	3479	275795	245000	99000	25300	18400	68
Hackney	51.545	-0.0553	2007	3632	313566	264000	93000	27900	20900	72
Hackney	51.545	-0.0553	2008	1740	318166	265000	100000	28000	21000	75
Hackney	51.545	-0.0553	2009	1882	313700	275000	102000	29800	22200	79
Hackney	51.545	-0.0553	2010	2228	345288	290500	99000	29500	22300	79
Hackney	51.545	-0.0553	2011	2246	354522	310000	101000	31200	23300	89
Hackney	51.545	-0.0553	2012	2630	379410	325000	101000	32700	24300	91
Hackney	51.545	-0.0553	2013	2708	430254	375000	100000	36300	26000	95
Hackney	51.545	-0.0553	2014	2845	501633	430000	106000	37100	26000	99
Hackney	51.545	-0.0553	2015	2831	564761	490000	109000	40200	27800	103
Hackney	51.545	-0.0553	2016	2464	602843	535250	109000	40600	28000	102
Hackney	51.545	-0.0553	2017	2130	614955	530000	112000	43100	29400	101
Hackney	51.545	-0.0553	2018	2200	610000	550000	116000	44900	29600	100
Hackney	51.545	-0.0553	2019	2300	630000	550000	111000	47200	32400	98
Hackney	51.545	-0.0553	2020	2400	670000	570000	109000	49400	32800	102
Hackney	51.545	-0.0553	2021	2500	690000	580000	123000	52500	34300	103
Hammersmith and Fulham	51.4927	"	-0.2334"	1995	3038	137774	109500	65000	29000	17500	55
Hammersmith and Fulham	51.4927	"	-0.2334"	1996	3987	150521	122000	67000	30000	17920	56
Hammersmith and Fulham	51.4927	"	-0.2334"	1997	4242	176577	136000	68000	32000	18000	57
Hammersmith and Fulham	51.4927	"	-0.2334"	1998	3586	197311	159950	70000	33000	18500	58
Hammersmith and Fulham	51.4927	"	-0.2334"	1999	4339	240838	191500	72000	34900	19900	58
Hammersmith and Fulham	51.4927	"	-0.2334"	2000	3649	281619	222000	87000	35400	19300	59
Hammersmith and Fulham	51.4927	"	-0.2334"	2001	3688	306977	245000	83000	37500	21000	61
Hammersmith and Fulham	51.4927	"	-0.2334"	2002	4082	345434	265000	86000	35800	20800	64
Hammersmith and Fulham	51.4927	"	-0.2334"	2003	3409	357956	280000	83000	36200	19600	65
Hammersmith and Fulham	51.4927	"	-0.2334"	2004	3784	386124	300250	95000	38300	20800	68
Hammersmith and Fulham	51.4927	"	-0.2334"	2005	3244	418105	325000	87000	43100	23000	71
Hammersmith and Fulham	51.4927	"	-0.2334"	2006	4181	453325	350000	92000	46200	22800	75
Hammersmith and Fulham	51.4927	"	-0.2334"	2007	3858	534857	415000	103000	48600	23600	81
Hammersmith and Fulham	51.4927	"	-0.2334"	2008	1664	565249	435000	100000	50000	24000	83
Hammersmith and Fulham	51.4927	"	-0.2334"	2009	1953	555613	420000	93000	52900	26700	85
Hammersmith and Fulham	51.4927	"	-0.2334"	2010	2508	622446	460000	96000	52000	27100	56
Hammersmith and Fulham	51.4927	"	-0.2334"	2011	2718	638126	465000	98000	52700	27600	92
Hammersmith and Fulham	51.4927	"	-0.2334"	2012	2626	675674	490000	93000	54300	27600	93
Hammersmith and Fulham	51.4927	"	-0.2334"	2013	3005	766921	561440	93000	61300	30100	99
Hammersmith and Fulham	51.4927	"	-0.2334"	2014	2809	886074	661000	92000	62000	30100	106
Hammersmith and Fulham	51.4927	"	-0.2334"	2015	2413	940897	730000	97000	69700	32000	109
Hammersmith and Fulham	51.4927	"	-0.2334"	2016	2163	940225	730000	102000	66600	32300	108
Hammersmith and Fulham	51.4927	"	-0.2334"	2017	2016	972231	777475	94000	73200	33200	108
Hammersmith and Fulham	51.4927	"	-0.2334"	2018	2000	990000	780000	99000	72600	34100	107
Hammersmith and Fulham	51.4927	"	-0.2334"	2019	1950	1000000	800000	95000	75900	35800	104
Hammersmith and Fulham	51.4927	"	-0.2334"	2020	1920	1100000	810000	93000	77800	36200	107
Hammersmith and Fulham	51.4927	"	-0.2334"	2021	1890	1200000	830000	98000	83600	37000	109
Haringey	51.5908	-0.1095	1995	3373	89630	66500	180000	19000	14400	56
Haringey	51.5908	-0.1095	1996	3900	102676	71850	190000	19200	14500	57
Haringey	51.5908	-0.1095	1997	4548	106794	81000	120000	19500	14600	58
Haringey	51.5908	-0.1095	1998	4172	123957	91000	120000	20000	14900	58
Haringey	51.5908	-0.1095	1999	4744	143404	110000	124000	20600	15000	59
Haringey	51.5908	-0.1095	2000	4191	169316	130000	116000	24500	16600	60
Haringey	51.5908	-0.1095	2001	4591	193583	150000	90000	28000	19100	62
Haringey	51.5908	-0.1095	2002	4634	226533	180000	95000	26000	17100	65
Haringey	51.5908	-0.1095	2003	3905	237220	192500	102000	26100	18800	63
Haringey	51.5908	-0.1095	2004	4436	259485	213000	104000	27900	18300	65
Haringey	51.5908	-0.1095	2005	3536	274262	224998	117000	29500	18800	69
Haringey	51.5908	-0.1095	2006	4672	305233	237500	114000	32500	19000	72
Haringey	51.5908	-0.1095	2007	4347	352754	267500	124000	31900	19800	77
Haringey	51.5908	-0.1095	2008	2032	346868	250000	120000	32000	20000	80
Haringey	51.5908	-0.1095	2009	1870	350064	250000	118000	35100	21800	83
Haringey	51.5908	-0.1095	2010	2347	395977	290000	123000	32900	21500	83
Haringey	51.5908	-0.1095	2011	2306	411253	303000	116000	34600	22200	88
Haringey	51.5908	-0.1095	2012	2461	416303	315000	124000	35400	23300	94
Haringey	51.5908	-0.1095	2013	2657	481674	339800	122000	39100	24400	98
Haringey	51.5908	-0.1095	2014	2850	542902	405000	126000	39500	25800	103
Haringey	51.5908	-0.1095	2015	2692	569499	439498	131000	41700	25600	107
Haringey	51.5908	-0.1095	2016	2288	606629	460000	138000	39900	25100	106
Haringey	51.5908	-0.1095	2017	1888	683987	540000	138000	43800	27100	106
Haringey	51.5908	-0.1095	2018	1800	700000	590000	130000	46300	27400	105
Haringey	51.5908	-0.1095	2019	1900	710000	600000	129000	48600	28300	104
Haringey	51.5908	-0.1095	2020	1800	740000	620000	122000	50200	30000	105
Haringey	51.5908	-0.1095	2021	1750	760000	650000	128000	57100	31300	107
Harrow	51.5782	-0.3336	1995	2847	90114	79950	87000	19500	15300	62
Harrow	51.5782	-0.3336	1996	3613	94547	82500	89000	19800	15500	62
Harrow	51.5782	-0.3336	1997	4018	109330	94159	90000	20000	15900	65
Harrow	51.5782	-0.3336	1998	3871	123547	107500	92000	21000	16000	66
Harrow	51.5782	-0.3336	1999	4495	142317	124000	96000	23300	16600	67
Harrow	51.5782	-0.3336	2000	3972	168105	147250	99000	25700	19300	69
Harrow	51.5782	-0.3336	2001	4351	185011	165000	100000	26500	19300	71
Harrow	51.5782	-0.3336	2002	4534	221864	197475	106000	26900	19400	73
Harrow	51.5782	-0.3336	2003	4240	254590	230000	103000	26300	19600	75
Harrow	51.5782	-0.3336	2004	4034	271431	245000	114000	26800	19600	77
Harrow	51.5782	-0.3336	2005	3313	281710	249000	116000	29200	20700	77
Harrow	51.5782	-0.3336	2006	4326	295528	250000	119000	30800	21400	77
Harrow	51.5782	-0.3336	2007	4024	320820	280000	120000	32400	22100	79
Harrow	51.5782	-0.3336	2008	2188	314681	275000	115000	33000	22500	81
Harrow	51.5782	-0.3336	2009	1946	290911	250000	119000	33300	22800	84
Harrow	51.5782	-0.3336	2010	2263	331517	291000	125000	31100	22300	87
Harrow	51.5782	-0.3336	2011	2168	343717	294000	122000	32400	23000	96
Harrow	51.5782	-0.3336	2012	2269	343714	302000	124000	33300	24000	102
Harrow	51.5782	-0.3336	2013	2551	369829	325000	122000	36000	25200	107
Harrow	51.5782	-0.3336	2014	2714	427077	370000	120000	37000	26100	113
Harrow	51.5782	-0.3336	2015	2931	461919	400000	130000	38500	26300	115
Harrow	51.5782	-0.3336	2016	2239	504811	460000	128000	38400	27300	114
Harrow	51.5782	-0.3336	2017	1946	527206	500000	129000	39000	27600	113
Harrow	51.5782	-0.3336	2018	2000	550000	510000	131000	39300	27600	112
Harrow	51.5782	-0.3336	2019	2015	580000	530000	130000	41500	29500	112
Harrow	51.5782	-0.3336	2020	2216	600000	570000	123000	42800	30200	116
Harrow	51.5782	-0.3336	2021	2589	610000	580000	125000	46500	32300	117
Havering	51.5745	0.1831	1995	3186	75226	66375	128000	19100	13900	42
Havering	51.5745	0.1831	1996	3826	79625	68500	129000	19000	14000	45
Havering	51.5745	0.1831	1997	4272	84998	74000	132000	19500	14200	46
Havering	51.5745	0.1831	1998	3718	95269	82500	135000	20000	14500	47
Havering	51.5745	0.1831	1999	4359	106996	90000	105000	20400	14800	47
Havering	51.5745	0.1831	2000	3805	122976	110000	129000	21400	17000	48
Havering	51.5745	0.1831	2001	4694	136554	122500	114000	22200	17400	49
Havering	51.5745	0.1831	2002	4928	163234	145000	124000	22700	18300	53
Havering	51.5745	0.1831	2003	4539	192244	173995	121000	22800	18100	53
Havering	51.5745	0.1831	2004	4861	208511	188000	125000	23100	18600	55
Havering	51.5745	0.1831	2005	3989	219961	195000	135000	25000	20200	56
Havering	51.5745	0.1831	2006	5110	227975	205000	132000	26100	20400	59
Havering	51.5745	0.1831	2007	5434	246249	222500	133000	27100	20800	63
Havering	51.5745	0.1831	2008	2637	246272	222500	130000	28000	21000	66
Havering	51.5745	0.1831	2009	2413	225795	200000	123000	29700	22000	68
Havering	51.5745	0.1831	2010	2734	257191	221000	123000	29000	22500	70
Havering	51.5745	0.1831	2011	2593	248856	220000	125000	30400	22700	75
Havering	51.5745	0.1831	2012	2818	245160	221000	128000	30600	23500	81
Havering	51.5745	0.1831	2013	3548	257481	232250	122000	31300	24700	87
Havering	51.5745	0.1831	2014	4152	284185	250000	124000	32100	24900	91
Havering	51.5745	0.1831	2015	4143	317807	287500	128000	33600	26000	91
Havering	51.5745	0.1831	2016	3730	358601	332000	128000	33900	26100	98
Havering	51.5745	0.1831	2017	3474	387535	350000	130000	35700	27900	98
Havering	51.5745	0.1831	2018	3500	400000	370000	131000	37100	29700	98
Havering	51.5745	0.1831	2019	3400	420000	380000	130000	38100	29800	97
Havering	51.5745	0.1831	2020	3200	440000	390000	136000	38000	29000	101
Havering	51.5745	0.1831	2021	3100	450000	420000	135000	40000	29800	103
Hillingdon	51.5331	-0.4473	1995	3478	81489	71000	100000	19500	15600	64
Hillingdon	51.5331	-0.4473	1996	4848	84197	72500	102000	20000	15700	65
Hillingdon	51.5331	-0.4473	1997	5080	93055	79925	108000	21000	15800	66
Hillingdon	51.5331	-0.4473	1998	4958	103077	89000	110000	21500	16000	67
Hillingdon	51.5331	-0.4473	1999	5945	119189	104950	111000	21700	16100	67
Hillingdon	51.5331	-0.4473	2000	5114	141787	124950	130000	20900	17100	69
Hillingdon	51.5331	-0.4473	2001	4712	158026	140000	113000	23600	17600	71
Hillingdon	51.5331	-0.4473	2002	5773	183959	166950	118000	24000	18800	72
Hillingdon	51.5331	-0.4473	2003	5551	210379	190000	117000	23800	18900	74
Hillingdon	51.5331	-0.4473	2004	5588	223758	210000	123000	25200	20400	76
Hillingdon	51.5331	-0.4473	2005	4504	233399	218250	126000	26300	20200	78
Hillingdon	51.5331	-0.4473	2006	5469	253091	230000	128000	27600	21200	81
Hillingdon	51.5331	-0.4473	2007	5465	271401	245000	133000	27900	21800	84
Hillingdon	51.5331	-0.4473	2008	3076	268423	245000	132000	28000	22000	86
Hillingdon	51.5331	-0.4473	2009	2590	255440	230000	131000	29300	23000	89
Hillingdon	51.5331	-0.4473	2010	3094	282348	249999	134000	28400	21900	90
Hillingdon	51.5331	-0.4473	2011	3370	288639	249950	139000	30000	23500	95
Hillingdon	51.5331	-0.4473	2012	3301	296744	250000	136000	30100	23200	101
Hillingdon	51.5331	-0.4473	2013	3332	306450	269950	139000	31300	23600	105
Hillingdon	51.5331	-0.4473	2014	3690	348123	305750	139000	32300	25300	111
Hillingdon	51.5331	-0.4473	2015	3722	393842	352250	145000	33900	25900	110
Hillingdon	51.5331	-0.4473	2016	3294	439746	400000	145000	34300	26200	109
Hillingdon	51.5331	-0.4473	2017	3117	452272	415000	142000	35900	27100	108
Hillingdon	51.5331	-0.4473	2018	3100	480000	416000	141000	36800	28100	109
Hillingdon	51.5331	-0.4473	2019	3200	490000	420000	145000	37300	28100	108
Hillingdon	51.5331	-0.4473	2020	3100	500000	440000	142000	38200	28400	111
Hillingdon	51.5331	-0.4473	2021	3000	510000	450000	144000	41600	30600	114
Hounslow	51.4672	-0.361	1995	3497	89489	73000	99000	20000	14400	49
Hounslow	51.4672	-0.361	1996	3961	92155	73000	100000	20000	14600	49
Hounslow	51.4672	-0.361	1997	4512	101768	80000	102000	20200	14800	50
Hounslow	51.4672	-0.361	1998	3534	123952	95000	104000	20500	15000	52
Hounslow	51.4672	-0.361	1999	4246	143128	113000	106000	20900	15200	53
Hounslow	51.4672	-0.361	2000	4106	169888	130000	121000	22400	16600	56
Hounslow	51.4672	-0.361	2001	4518	189187	148500	101000	23800	16500	58
Hounslow	51.4672	-0.361	2002	4928	214367	174950	105000	24500	18600	61
Hounslow	51.4672	-0.361	2003	4610	235931	200000	104000	24800	18900	62
Hounslow	51.4672	-0.361	2004	4674	247790	215000	118000	25500	18400	65
Hounslow	51.4672	-0.361	2005	3653	260221	220000	117000	26900	18800	67
Hounslow	51.4672	-0.361	2006	4803	287101	235000	124000	27800	19100	71
Hounslow	51.4672	-0.361	2007	4831	311925	249995	129000	29000	20400	76
Hounslow	51.4672	-0.361	2008	2329	314107	249000	126000	30000	21000	78
Hounslow	51.4672	-0.361	2009	1836	314530	240000	124000	31800	22000	77
Hounslow	51.4672	-0.361	2010	2476	342719	249950	136000	30800	21600	79
Hounslow	51.4672	-0.361	2011	2319	363455	250000	133000	32400	21800	84
Hounslow	51.4672	-0.361	2012	2386	358795	265000	133000	32200	22400	91
Hounslow	51.4672	-0.361	2013	2845	397806	280000	130000	35800	23700	98
Hounslow	51.4672	-0.361	2014	3219	427360	319950	129000	36800	24700	101
Hounslow	51.4672	-0.361	2015	3205	462024	355000	135000	38400	25000	105
Hounslow	51.4672	-0.361	2016	2867	476268	380000	140000	39900	26100	105
Hounslow	51.4672	-0.361	2017	2445	507876	395000	135000	40300	26400	107
Hounslow	51.4672	-0.361	2018	2400	520000	400000	140000	42000	27800	105
Hounslow	51.4672	-0.361	2019	2320	530000	420000	136000	41700	27500	103
Hounslow	51.4672	-0.361	2020	2120	580000	440000	135000	43000	28500	105
Hounslow	51.4672	-0.361	2021	2100	620000	480000	140000	45400	29300	107
Islington	51.5382	-0.1022	1995	1768	119917	95000	55000	25000	17900	58
Islington	51.5382	-0.1022	1996	2425	124792	102250	57000	26000	17600	58
Islington	51.5382	-0.1022	1997	3144	144903	118875	62000	28000	17500	59
Islington	51.5382	-0.1022	1998	3223	169409	145000	68000	30000	18000	60
Islington	51.5382	-0.1022	1999	3794	204670	170000	69000	31100	19900	60
Islington	51.5382	-0.1022	2000	2988	246055	197500	93000	30000	17600	62
Islington	51.5382	-0.1022	2001	3343	260959	216800	82000	33500	18700	64
Islington	51.5382	-0.1022	2002	3401	292153	245000	86000	36300	19100	69
Islington	51.5382	-0.1022	2003	2882	294619	246250	80000	36800	21500	67
Islington	51.5382	-0.1022	2004	3044	320209	250000	92000	35400	20800	67
Islington	51.5382	-0.1022	2005	3060	333339	270000	92000	39000	22800	70
Islington	51.5382	-0.1022	2006	4031	366741	295000	96000	41400	23100	74
Islington	51.5382	-0.1022	2007	3781	437251	347000	105000	43300	24400	79
Islington	51.5382	-0.1022	2008	2322	425669	350000	100000	45000	26000	82
Islington	51.5382	-0.1022	2009	2385	414331	345000	98000	48400	27100	84
Islington	51.5382	-0.1022	2010	2838	480212	387498	101000	47600	26100	86
Islington	51.5382	-0.1022	2011	2623	507197	399995	105000	47200	28100	92
Islington	51.5382	-0.1022	2012	2861	523617	410000	105000	48400	28500	100
Islington	51.5382	-0.1022	2013	2998	575438	465000	104000	51900	28700	106
Islington	51.5382	-0.1022	2014	2828	669869	535000	102000	56800	31000	112
Islington	51.5382	-0.1022	2015	2331	743764	580000	109000	58900	31100	116
Islington	51.5382	-0.1022	2016	2309	754514	620000	114000	59500	32900	116
Islington	51.5382	-0.1022	2017	1649	778290	615000	106000	62100	33400	117
Islington	51.5382	-0.1022	2018	1600	790000	630000	113000	63900	35100	117
Islington	51.5382	-0.1022	2019	1590	800000	640000	109000	66100	36400	118
Islington	51.5382	-0.1022	2020	1550	810000	660000	107000	70100	35600	121
Islington	51.5382	-0.1022	2021	1530	850000	680000	110000	76600	38200	123
Kensington and Chelsea	51.4979	-0.1936	1995	3574	263462	172750	62000	50000	17000	64
Kensington and Chelsea	51.4979	-0.1936	1996	4436	297757	195000	65000	52000	17500	64
Kensington and Chelsea	51.4979	-0.1936	1997	4869	347240	225000	68000	52000	17800	66
Kensington and Chelsea	51.4979	-0.1936	1998	4225	378450	245000	70000	55000	18000	67
Kensington and Chelsea	51.4979	-0.1936	1999	5173	432504	285000	73000	58200	18200	68
Kensington and Chelsea	51.4979	-0.1936	2000	4431	558627	343000	74000	86500	25200	68
Kensington and Chelsea	51.4979	-0.1936	2001	4064	583952	363000	75000	78900	25900	70
Kensington and Chelsea	51.4979	-0.1936	2002	4526	615562	399450	68000	72900	25400	74
Kensington and Chelsea	51.4979	-0.1936	2003	3510	660887	405000	64000	84900	24000	78
Kensington and Chelsea	51.4979	-0.1936	2004	4086	711106	455000	74000	86600	22400	80
Kensington and Chelsea	51.4979	-0.1936	2005	3408	756023	465000	74000	109000	27300	79
Kensington and Chelsea	51.4979	-0.1936	2006	4289	873065	525000	73000	122000	27500	79
Kensington and Chelsea	51.4979	-0.1936	2007	3753	1023870	640000	74000	151000	31900	83
Kensington and Chelsea	51.4979	-0.1936	2008	1726	1185892	701000	73000	158000	33000	87
Kensington and Chelsea	51.4979	-0.1936	2009	2056	1042685	680000	70000	161000	34100	90
Kensington and Chelsea	51.4979	-0.1936	2010	2460	1256272	750000	72000	128000	31700	91
Kensington and Chelsea	51.4979	-0.1936	2011	2496	1290725	790750	70000	137000	37200	97
Kensington and Chelsea	51.4979	-0.1936	2012	2253	1511383	890714	70000	131000	37800	120
Kensington and Chelsea	51.4979	-0.1936	2013	2647	1666682	980000	71000	156000	37600	112
Kensington and Chelsea	51.4979	-0.1936	2014	2669	1946177	1197500	71000	158000	38700	119
Kensington and Chelsea	51.4979	-0.1936	2015	2162	1914363	1175000	74000	178000	37500	124
Kensington and Chelsea	51.4979	-0.1936	2016	1804	1953392	1200000	72000	171000	39500	123
Kensington and Chelsea	51.4979	-0.1936	2017	1535	2092485	1315000	68000	177000	40400	122
Kensington and Chelsea	51.4979	-0.1936	2018	1500	2300000	1350000	72000	173000	39300	121
Kensington and Chelsea	51.4979	-0.1936	2019	1400	2600000	1380000	67000	185000	42100	121
Kensington and Chelsea	51.4979	-0.1936	2020	1200	2800000	1450000	69000	198000	43300	123
Kensington and Chelsea	51.4979	-0.1936	2021	1000	2900000	1490000	68000	208000	43900	125
Kingston-upon-Thames	51.4123	-0.3007	1995	2901	97860	81000	65000	24000	18000	58
Kingston-upon-Thames	51.4123	-0.3007	1996	3430	106789	86000	67000	25000	19000	60
Kingston-upon-Thames	51.4123	-0.3007	1997	4149	114268	94950	68000	26000	19000	62
Kingston-upon-Thames	51.4123	-0.3007	1998	3599	133869	109500	70000	27000	20000	63
Kingston-upon-Thames	51.4123	-0.3007	1999	4101	152164	129950	71000	28400	20900	64
Kingston-upon-Thames	51.4123	-0.3007	2000	3578	187757	154000	77000	26400	18800	66
Kingston-upon-Thames	51.4123	-0.3007	2001	3969	201931	170000	77000	28400	19500	66
Kingston-upon-Thames	51.4123	-0.3007	2002	4300	232365	198000	79000	27900	20700	70
Kingston-upon-Thames	51.4123	-0.3007	2003	3571	244841	215195	78000	28300	20100	71
Kingston-upon-Thames	51.4123	-0.3007	2004	3939	267525	235000	82000	30500	20400	72
Kingston-upon-Thames	51.4123	-0.3007	2005	3228	277468	240000	86000	33400	22400	75
Kingston-upon-Thames	51.4123	-0.3007	2006	4253	302953	249999	85000	34300	22900	79
Kingston-upon-Thames	51.4123	-0.3007	2007	3932	346884	290000	82000	38200	25200	85
Kingston-upon-Thames	51.4123	-0.3007	2008	1710	356364	285000	80000	39000	25700	86
Kingston-upon-Thames	51.4123	-0.3007	2009	1892	328180	270000	78000	39200	25600	89
Kingston-upon-Thames	51.4123	-0.3007	2010	2355	373249	300000	88000	35500	24800	90
Kingston-upon-Thames	51.4123	-0.3007	2011	2249	364948	300000	82000	38700	26000	97
Kingston-upon-Thames	51.4123	-0.3007	2012	2353	383982	317500	83000	39900	26500	104
Kingston-upon-Thames	51.4123	-0.3007	2013	2748	414419	335000	84000	41900	26100	107
Kingston-upon-Thames	51.4123	-0.3007	2014	2988	475081	385000	79000	43600	29100	115
Kingston-upon-Thames	51.4123	-0.3007	2015	2556	502091	413500	80000	45800	30300	117
Kingston-upon-Thames	51.4123	-0.3007	2016	2167	547214	460000	86000	44500	30200	116
Kingston-upon-Thames	51.4123	-0.3007	2017	1928	573938	487250	79000	48700	32400	116
Kingston-upon-Thames	51.4123	-0.3007	2018	1900	600000	500000	84000	50300	33300	113
Kingston-upon-Thames	51.4123	-0.3007	2019	1850	620000	520000	84000	50500	33500	113
Kingston-upon-Thames	51.4123	-0.3007	2020	1821	670000	530000	81000	54000	34700	114
Kingston-upon-Thames	51.4123	-0.3007	2021	1799	690000	550000	82000	56500	35900	119
Lambeth	51.4606	-0.1162	1995	3500	79654	66000	124000	19000	14000	52
Lambeth	51.4606	-0.1162	1996	4820	95723	75000	126000	19000	14500	55
Lambeth	51.4606	-0.1162	1997	5990	106315	85000	127000	19500	15000	57
Lambeth	51.4606	-0.1162	1998	5664	127297	100000	130000	20000	15200	56
Lambeth	51.4606	-0.1162	1999	6142	147147	121000	131000	20700	15400	58
Lambeth	51.4606	-0.1162	2000	5990	180931	156875	126000	21900	15300	60
Lambeth	51.4606	-0.1162	2001	5999	212198	174200	119000	25600	18200	62
Lambeth	51.4606	-0.1162	2002	6399	232540	195000	119000	25900	18800	63
Lambeth	51.4606	-0.1162	2003	5536	237940	202000	119000	26600	20000	66
Lambeth	51.4606	-0.1162	2004	6033	254231	220000	137000	26800	19900	68
Lambeth	51.4606	-0.1162	2005	5270	268878	229000	134000	28700	20700	70
Lambeth	51.4606	-0.1162	2006	6695	293653	246000	145000	30900	21600	74
Lambeth	51.4606	-0.1162	2007	6375	340604	280000	147000	33300	22200	70
Lambeth	51.4606	-0.1162	2008	2989	342138	275000	148000	34000	23000	73
Lambeth	51.4606	-0.1162	2009	2383	336758	275000	149000	35400	24000	82
Lambeth	51.4606	-0.1162	2010	3519	366963	302000	153000	34200	24000	85
Lambeth	51.4606	-0.1162	2011	3612	377944	310000	148000	35700	24600	98
Lambeth	51.4606	-0.1162	2012	3956	398776	321250	148000	37600	26000	98
Lambeth	51.4606	-0.1162	2013	4912	437456	350000	151000	40600	26800	102
Lambeth	51.4606	-0.1162	2014	4858	538040	420000	161000	41100	27300	107
Lambeth	51.4606	-0.1162	2015	4575	554122	460000	161000	43700	28400	110
Lambeth	51.4606	-0.1162	2016	3962	588579	507600	165000	43900	29200	108
Lambeth	51.4606	-0.1162	2017	3661	616126	518110	162000	45600	29900	108
Lambeth	51.4606	-0.1162	2018	3500	600000	530000	170000	47500	31900	107
Lambeth	51.4606	-0.1162	2019	3200	620000	550000	168000	49100	31900	105
